Census track code,GEO Identification,Tract Name,Area Land,Area Water,Latitude Centroid,Longitude Centroid,Population,Male,Female,Sex ratio (males per 100 females),Median age (years),Under 18 years,16 years and over,18 years and over,21 years and over,65 years and over,85 years and over,18 years and over: Male,18 years and over: Female,18 years and over: Sex ratio (males per 100 females),65 years and over: Male,65 years and over: Female,65 years and over: Sex ratio (males per 100 females),RACE: One race,RACE: Two or more races,RACE: One race: White,RACE: One race: Black or African American,Total housing units,"Citizen, 18 and over","Citizen, 18 and over: Male","Citizen, 18 and over: Female"
9807,11001009807,98.07,1037012,0,38.8292038,-77.0117577,3611,2013,1598,126,40.5,882,2729,2729,2629,478,25,1488,1241,119.9,233,245,95.1,3507,104,94,3247,1802,2717,1476,1241
9802,11001009802,98.02,200745,0,38.8307312,-76.9965578,1913,880,1033,85.2,33.7,534,1404,1379,1323,390,18,593,786,75.4,168,222,75.7,1907,6,14,1876,954,1379,593,786
9803,11001009803,98.03,531060,3756,38.8356929,-77.0043421,3334,1709,1625,105.2,34.1,915,2491,2419,2318,351,46,1211,1208,100.2,190,161,118,3075,259,55,3006,1671,2378,1170,1208
2002,11001002002,20.02,849376,0,38.9525009,-77.0310824,4252,2159,2093,103.2,37.6,1062,3213,3190,3072,511,42,1559,1631,95.6,225,286,78.7,3753,499,1474,1881,1636,2722,1177,1545
2101,11001002101,21.01,600992,0,38.9559119,-77.0241312,5626,2869,2757,104.1,38.1,1304,4382,4322,4101,508,50,2074,2248,92.3,252,256,98.4,5168,458,806,3437,2486,3416,1530,1886
2900,11001002900,29,300632,0,38.9338478,-77.0299131,4497,2315,2182,106.1,31.2,918,3619,3579,3545,390,46,1942,1637,118.6,253,137,184.7,4096,401,2270,1083,1882,3162,1727,1435
3100,11001003100,31,296819,0,38.930617,-77.0254235,3711,1816,1895,95.8,33,603,3165,3108,3030,265,52,1493,1615,92.4,53,212,25,3553,158,1766,752,1825,2595,1233,1362
3200,11001003200,32,447929,0,38.9322375,-77.0211591,4646,2347,2299,102.1,32.9,1143,3538,3503,3409,434,23,1735,1768,98.1,111,323,34.4,4439,207,1503,2096,2042,2901,1427,1474
3400,11001003400,34,911458,159593,38.9221674,-77.0177044,4711,1771,2940,60.2,21.9,357,4433,4354,2426,180,0,1633,2721,60,63,117,53.8,4167,544,1519,2240,1403,4169,1613,2556
3500,11001003500,35,382021,0,38.9223765,-77.024341,4619,2165,2454,88.2,24.5,359,4341,4260,3205,176,38,1955,2305,84.8,59,117,50.4,4399,220,1291,2525,1875,3888,1741,2147
5302,11001005302,53.02,117635,0,38.9124517,-77.0386443,2539,1401,1138,123.1,31.5,190,2370,2349,2349,157,11,1290,1059,121.8,90,67,134.3,2385,154,1895,0,1758,2021,1175,846
4402,11001004402,44.02,274746,0,38.9155152,-77.0270354,2602,1383,1219,113.5,34.3,235,2369,2367,2256,219,0,1253,1114,112.5,141,78,180.8,2227,375,1505,456,1284,2322,1245,1077
10602,11001010602,106.02,542509,0,38.9033936,-76.9994636,5726,2822,2904,97.2,33,867,4995,4859,4767,364,20,2255,2604,86.6,134,230,58.3,5408,318,3238,1708,3026,4658,2195,2463
804,11001000804,8.04,2566768,167978,38.9221746,-77.0918347,3835,1788,2047,87.3,36.1,930,3016,2905,2361,597,20,1311,1594,82.2,249,348,71.6,3704,131,3160,261,1347,2684,1213,1471
4001,11001004001,40.01,271037,2414,38.9208738,-77.0462674,4605,2193,2412,90.9,33.1,489,4116,4116,4116,457,25,1946,2170,89.7,228,229,99.6,4342,263,3468,567,2547,3903,1856,2047
4002,11001004002,40.02,194755,0,38.9181186,-77.0437209,3162,1435,1727,83.1,37.2,327,2858,2835,2830,448,26,1189,1646,72.2,64,384,16.7,2900,262,2389,185,2406,2475,953,1522
3600,11001003600,36,305616,0,38.9236744,-77.0296273,4517,2104,2413,87.2,35,344,4175,4173,4171,290,18,1807,2366,76.4,57,233,24.5,4365,152,2521,1357,2332,3773,1531,2242
4201,11001004201,42.01,204529,0,38.9162076,-77.0388456,3771,1953,1818,107.4,30.6,398,3373,3373,3373,169,0,1752,1621,108.1,112,57,196.5,3685,86,3409,137,2307,3122,1614,1508
4202,11001004202,42.02,207646,0,38.9134023,-77.0430254,2592,1348,1244,108.4,32.2,64,2528,2528,2499,222,2,1333,1195,111.5,71,151,47,2187,405,1838,54,1649,2168,1171,997
7407,11001007407,74.07,608700,0,38.8574823,-76.9850206,3416,1444,1972,73.2,30.9,1143,2520,2273,2190,200,7,748,1525,49,87,113,77,3342,74,78,3239,1564,2232,748,1484
6801,11001006801,68.01,244750,0,38.8877413,-76.9801087,2298,1241,1057,117.4,35.8,365,1933,1933,1904,106,6,1048,885,118.4,44,62,71,1987,311,1151,725,1143,1901,1031,870
10700,11001010700,107,891588,0,38.9039988,-77.0419809,1658,795,863,92.1,32.6,33,1625,1625,1577,195,0,782,843,92.8,84,111,75.7,1557,101,1261,56,1443,1321,630,691
9604,11001009604,96.04,503381,65762,38.8931572,-76.9585043,2414,845,1569,53.9,29.9,624,1806,1790,1771,350,58,575,1215,47.3,99,251,39.4,2399,15,67,2299,930,1748,561,1187
201,11001000201,2.01,505004,0,38.9092171,-77.0743418,3938,1555,2383,65.3,19.9,39,3938,3899,824,22,3,1545,2354,65.6,22,0,,3601,337,2304,299,0,3396,1381,2015
300,11001000300,3,1042157,2305,38.9179099,-77.0748728,5966,2819,3147,89.6,32.2,1160,4957,4806,4633,569,0,2402,2404,99.9,291,278,104.7,5475,491,4946,184,2743,4157,2003,2154
400,11001000400,4,1541239,69,38.9227989,-77.0649214,1500,638,862,74,46,298,1245,1202,1170,277,72,548,654,83.8,124,153,81,1362,138,1008,29,773,1066,473,593
502,11001000502,5.02,581507,0,38.9283547,-77.0595624,3481,1460,2021,72.2,38,614,2878,2867,2819,476,26,1271,1596,79.6,208,268,77.6,3151,330,2625,225,1822,2650,1201,1449
